Name,Age,Games,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Randy Arozarena,31,134,581,22,21,10.0%,21.5%,.193,.319,.271,.370,.464,.367,144,0.8,30.4,-10.4,4.1
Dominic Canzone,28,126,444,21,2,9.0%,21.6%,.227,.284,.254,.329,.481,.349,131,-1.0,15.2,-9.7,2.2
Julio Rodriguez,25,131,571,20,20,7.4%,22.6%,.156,.283,.242,.303,.398,.307,102,3.2,4.5,-3.7,2.1
Cal Raleigh,29,107,446,21,2,13.5%,31.2%,.195,.206,.176,.291,.371,.296,95,-1.4,-4.2,6.4,1.8
Cole Young,22,141,569,16,3,6.5%,17.2%,.137,.273,.246,.308,.383,.306,101,-1.5,-0.6,-1.8,1.8
J.P. Crawford,31,97,403,10,1,14.6%,20.3%,.125,.264,.224,.347,.349,.318,109,-1.2,3.2,-4.2,1.4
Josh Naylor,29,132,566,10,26,7.2%,12.9%,.097,.296,.269,.327,.366,.308,102,-3.5,-1.8,-7.2,1.1
Brendan Donovan,29,39,159,3,1,9.4%,14.5%,.131,.313,.277,.371,.409,.349,131,-0.3,5.5,-1.5,1.0
Jhonny Pereda,30,27,86,2,0,7.0%,18.6%,.076,.344,.291,.349,.367,.322,113,-1.3,0.0,2.7,0.6
Victor Robles,29,63,147,0,10,6.1%,15.0%,.053,.309,.260,.319,.313,.287,88,1.2,-0.9,1.0,0.6
Luke Raley,31,95,287,15,1,5.2%,32.4%,.214,.284,.225,.284,.439,.313,106,0.2,2.2,-9.5,0.3
Mitch Garver,35,50,149,4,1,14.8%,32.9%,.119,.247,.175,.302,.294,.278,82,-0.5,-3.6,0.1,0.2
Will Wilson,27,2,6,1,0,16.7%,16.7%,.600,.000,.200,.333,.800,.458,207,0.0,0.7,0.1,0.1
Lazaro Montes,21,3,12,1,0,8.3%,33.3%,.273,.333,.273,.333,.545,.377,151,0.0,0.7,-0.2,0.1
Buddy Kennedy,27,5,11,0,0,9.1%,36.4%,.100,.167,.100,.182,.200,.178,12,0.0,-1.1,0.0,-0.1
Colt Emerson,20,69,241,8,3,6.2%,34.4%,.145,.258,.190,.246,.335,.256,67,1.1,-8.2,-1.1,-0.1
Ryan Bliss,26,3,10,0,0,10.0%,30.0%,.000,.167,.125,.200,.125,.159,-1,0.0,-1.2,0.0,-0.1
Connor Joe,33,21,45,1,2,13.3%,33.3%,.128,.261,.179,.289,.308,.274,79,-0.3,-1.4,-1.9,-0.2
Brock Rodden,26,18,58,0,0,13.8%,29.3%,.082,.333,.224,.328,.306,.290,90,-0.9,-1.5,-2.9,-0.2
Miles Mastrobuoni,30,13,30,0,0,6.7%,33.3%,.000,.294,.192,.241,.192,.202,29,-0.8,-3.3,-0.2,-0.3
Leo Rivas,28,48,139,0,2,11.5%,28.1%,.043,.218,.147,.270,.190,.227,46,1.0,-7.7,-0.1,-0.3
Weston Wilson,31,36,96,3,3,10.4%,36.5%,.140,.292,.198,.281,.337,.278,82,0.9,-1.2,-5.9,-0.4
Patrick Wisdom,34,19,50,1,0,6.0%,42.0%,.085,.160,.106,.160,.191,.151,-7,0.0,-6.2,-1.0,-0.6
Taylor Ward,32,22,83,0,0,9.6%,27.7%,.027,.157,.108,.205,.135,.170,7,0.0,-9.0,-1.4,-0.8
Rob Refsnyder,35,53,129,4,0,6.2%,28.7%,.114,.158,.140,.211,.254,.207,33,-0.2,-10.3,-4.3,-1.0
